1,1.iw.mullion.light.pittsburgh,
2,2.iw.mullion.heavy.pittsburgh,
,,
Date/Time,[1] IW North Zone Average Temperature (C),[2] IW North Zone Average Temperature (C)
2002/1/1 0:10,18.74980078,18.68470995
2002/1/1 0:20,18.73277395,18.73783862
2002/1/1 0:30,18.7078113,18.7927603
2002/1/1 0:40,18.70675466,18.85643358
2002/1/1 0:50,18.69602162,18.88789194
2002/1/1 1:00,18.71384234,18.92269735
2002/1/1 1:10,18.75996498,18.94142822
2002/1/1 1:20,18.82298879,18.97510686
2002/1/1 1:30,18.8822645,18.9830401
2002/1/1 1:40,18.89541967,18.97402556
2002/1/1 1:50,18.8886752,18.93748904
2002/1/1 2:00,18.86744319,18.91598309
2002/1/1 2:10,18.83823242,18.89621814
2002/1/1 2:20,18.80210586,18.87560444
2002/1/1 2:30,18.76017669,18.85236382
2002/1/1 2:40,18.71677359,18.82690287
2002/1/1 2:50,18.66879591,18.80003695
2002/1/1 3:00,18.65266574,18.7722704
2002/1/1 3:10,18.70453521,18.74385478
2002/1/1 3:20,18.79671644,18.72184196
2002/1/1 3:30,18.86879306,18.69423196
2002/1/1 3:40,18.91711664,18.73063802
2002/1/1 3:50,18.94615531,18.80722162
2002/1/1 4:00,18.95909703,18.86080603
2002/1/1 4:10,18.99929288,18.93689681
2002/1/1 4:20,18.99393992,18.93536027
2002/1/1 4:30,18.98170758,18.94229863
2002/1/1 4:40,18.95355156,18.91578271
2002/1/1 4:50,18.91587947,18.90142342
2002/1/1 5:00,18.87218259,18.88720771
2002/1/1 5:10,18.82615917,18.87046373
2002/1/1 5:20,18.77614264,18.85070363
2002/1/1 5:30,18.75585232,18.85619261
2002/1/1 5:40,18.70711214,18.83234185
2002/1/1 5:50,18.65687,18.80569354
2002/1/1 6:00,18.64673438,18.77413733
2002/1/1 6:10,18.6948956,18.74227617
2002/1/1 6:20,18.87200047,18.75638546
2002/1/1 6:30,19.01585399,18.72800116
2002/1/1 6:40,19.07266413,18.69017466
2002/1/1 6:50,19.13514269,18.75345079
2002/1/1 7:00,19.14374624,18.82563954
2002/1/1 7:10,19.16197609,18.90998149
2002/1/1 7:20,19.1443653,18.92028125
2002/1/1 7:30,19.11251304,18.92726046
2002/1/1 7:40,19.07519089,18.92567376
2002/1/1 7:50,19.0319602,18.91725765
2002/1/1 8:00,18.9904505,18.9039092
2002/1/1 8:10,18.94668163,18.88624414
2002/1/1 8:20,18.90212539,18.86788724
2002/1/1 8:30,18.85456445,18.84568713
2002/1/1 8:40,18.80368806,18.82185929
2002/1/1 8:50,18.75328674,18.79722541
2002/1/1 9:00,18.70161092,18.7721467
2002/1/1 9:10,18.66266422,18.74675345
2002/1/1 9:20,18.62679936,18.72113521
2002/1/1 9:30,18.59190141,18.69536429
2002/1/1 9:40,18.5461003,18.6696247
2002/1/1 9:50,18.50905389,18.64387171
2002/1/1 10:00,18.47393469,18.61754038
2002/1/1 10:10,18.43982115,18.59173716
2002/1/1 10:20,18.40651853,18.56687899
2002/1/1 10:30,18.37363042,18.5428122
2002/1/1 10:40,18.37526248,18.54162562
2002/1/1 10:50,18.35734288,18.52041275
2002/1/1 11:00,18.33313222,18.49547893
2002/1/1 11:10,18.35466812,18.51721571
2002/1/1 11:20,18.33423189,18.50135303
2002/1/1 11:30,18.3051034,18.48114971
2002/1/1 11:40,18.27444973,18.46700184
2002/1/1 11:50,18.24341222,18.46268507
